node_id,node_type,name,biomarker_id,loinc_code,assessed_biomarker_entity,assessed_biomarker_entity_id,assessed_entity_type,reporting_term,aspect_term,specimen,specimen_id,condition,condition_id,best_biomarker_role,evidence_source,ontology_id,subtype,domain,notes
BM001,Biomarker,Increased IL-6 level,AN6278-LC,LOINC:26881-3,IL-6,UniProt:P05231,protein,increased,level,serum,UBERON:0001977,Long COVID,MONDO:0100233,monitoring biomarker,PMID:34062244,,,immune,Elevated serum IL-6 monitors persistent immune activation in Long COVID
BM002,Biomarker,Increased TNF-alpha level,,LOINC:83519-2,TNF-alpha,UniProt:P01375,protein,increased,level,serum,UBERON:0001977,Long COVID,MONDO:0100233,monitoring biomarker,PMID:33971154,,,immune,Elevated TNF-alpha reflects ongoing systemic inflammation in Long COVID
BM003,Biomarker,Increased hsCRP level,,LOINC:30522-7,CRP,UniProt:P02741,protein,increased,level,serum,UBERON:0001977,Long COVID,MONDO:0100233,monitoring biomarker,PMID:34062244,,,immune,Elevated hsCRP indicates general systemic inflammation
BM004,Biomarker,Presence of ANA,,LOINC:5048-4,ANA,,,antibody,presence of,serum,UBERON:0001977,Long COVID,MONDO:0100233,diagnostic biomarker,PMID:34416124,,,immune,ANA positivity indicates autoimmune process in Long COVID
BM005,Biomarker,Presence of Anti-beta2GPI IgG,,LOINC:32218-4,Anti-beta2GPI IgG,,,antibody,presence of,serum,UBERON:0001977,Long COVID,MONDO:0100233,diagnostic biomarker,PMID:34416124,,,coagulation,Antiphospholipid antibody associated with hypercoagulability
BM006,Biomarker,Decreased NK cell activity,,LOINC:49089-0,NK cell,CL:0000623,cell,decreased,activity,blood,UBERON:0000178,Long COVID,MONDO:0100233,diagnostic biomarker,PMID:34237774,,,immune,Reduced NK cell cytotoxic function diagnostic of immune exhaustion in Long COVID and ME/CFS
BM007,Biomarker,Increased serum tryptase level,,LOINC:25974-6,Tryptase,UniProt:Q15661,protein,increased,level,serum,UBERON:0001977,MCAS,MONDO:0600011,diagnostic biomarker,PMID:32839624,,,immune,Elevated serum tryptase diagnostic of mast cell activation syndrome
BM008,Biomarker,Increased D-dimer level,,LOINC:48065-7,D-dimer,,protein,increased,level,plasma,UBERON:0001969,Long COVID,MONDO:0100233,monitoring biomarker,PMID:35249063,,,coagulation,Elevated D-dimer monitors microclot burden and coagulation dysregulation
BM009,Biomarker,Increased fibrinogen level,,LOINC:3255-7,Fibrinogen,UniProt:P02671,protein,increased,level,plasma,UBERON:0001969,Long COVID,MONDO:0100233,monitoring biomarker,PMID:35249063,,,coagulation,Elevated fibrinogen indicates hypercoagulable state
BM010,Biomarker,Increased norepinephrine on standing,,LOINC:2671-5,Norepinephrine,CHEBI:33569,metabolite,increased,level,plasma,UBERON:0001969,Hyperadrenergic POTS,MONDO:0015626,diagnostic biomarker,PMID:31132863,,,autonomic,NE rise greater than 600 pg/mL on standing diagnostic of hyperadrenergic POTS subtype
BM011,Biomarker,Decreased cortisol AM level,,LOINC:2143-5,Cortisol,CHEBI:17650,metabolite,decreased,level,serum,UBERON:0001977,Long COVID,MONDO:0100233,monitoring biomarker,PMID:35487077,,,neuroendocrine,Low morning cortisol indicates HPA axis suppression in Long COVID
BM012,Biomarker,Decreased DHEA-S level,,LOINC:2191-4,DHEA-S,CHEBI:16814,metabolite,decreased,level,serum,UBERON:0001977,Long COVID,MONDO:0100233,monitoring biomarker,PMID:35487077,,,neuroendocrine,Low DHEA-S co-occurs with cortisol reduction in HPA axis dysfunction
BM013,Biomarker,Decreased free T3 level,,LOINC:3051-0,Free T3,CHEBI:18258,metabolite,decreased,level,serum,UBERON:0001977,Long COVID,MONDO:0100233,monitoring biomarker,PMID:34957533,,,neuroendocrine,Low-normal free T3 reflects post-viral thyroid and metabolic suppression
BM014,Biomarker,Decreased ferritin level,,LOINC:2276-4,Ferritin,UniProt:P02794,protein,decreased,level,serum,UBERON:0001977,Long COVID,MONDO:0100233,risk biomarker,PMID:34062244,,,metabolic,Low ferritin worsens fatigue and autonomic function; risk factor for poor recovery
BM015,Biomarker,Increased urine histamine,,LOINC:2110-4,Histamine,CHEBI:18295,metabolite,increased,level,urine,UBERON:0001088,MCAS,MONDO:0600011,diagnostic biomarker,PMID:32839624,,,immune,Elevated urinary histamine diagnostic of mast cell mediator release
BM016,Biomarker,Increased prostaglandin D2,,LOINC:32316-6,Prostaglandin D2,CHEBI:15555,metabolite,increased,level,urine,UBERON:0001088,MCAS,MONDO:0600011,diagnostic biomarker,PMID:32839624,,,immune,Elevated PGD2 confirms mast cell degranulation in MCAS
BM017,Biomarker,Hypersensitive platelet aggregation,,,Platelet,CL:0000233,cell,increased,aggregation activity,blood,UBERON:0000178,Long COVID,MONDO:0100233,diagnostic biomarker,PMID:35249063,,,coagulation,Hyperactivated platelet aggregation contributes to microclot formation
BM018,Biomarker,Presence of spike protein in blood,,,SARS-CoV-2 spike protein,,protein,presence of,plasma,UBERON:0001969,Long COVID,MONDO:0100233,diagnostic biomarker,PMID:35610328,,,immune,Persistent circulating spike antigen supports viral reservoir hypothesis,
BM019,Biomarker,Decreased HRV RMSSD,,,HRV RMSSD,,functional,decreased,RMSSD value,wearable,UBERON:0000948,POTS,MONDO:0015626,monitoring biomarker,PMID:33971154,,,autonomic,Severely reduced HRV monitors autonomic nervous system dysfunction
BM020,Biomarker,Decreased VO2max day 1,,,VO2max,,functional,decreased,oxygen consumption,exhaled air,UBERON:0001078,Long COVID,MONDO:0100233,diagnostic biomarker,PMID:35487077,,,metabolic,Impaired peak oxygen consumption on CPET day 1 indicates exercise intolerance
